"penalty","horizon","f_horizon","objective_value","mean"
17,7,6,1698,53.0625
18,7,6,1723,53.84375
19,7,6,1693,52.90625
20,7,6,1725,53.90625
4,8,6,1392,43.5
5,8,6,1491,46.59375
6,8,6,1552,48.5
7,8,6,1544,48.25
8,8,6,1573,49.15625
9,8,6,1559,48.71875
10,8,6,1623,50.71875
11,8,6,1608,50.25
12,8,6,1669,52.15625
13,8,6,1672,52.25
14,8,6,1678,52.4375
15,8,6,1727,53.96875
16,8,6,1780,55.625
17,8,6,1698,53.0625
18,8,6,1700,53.125
19,8,6,1777,55.53125
20,8,6,1743,54.46875
4,9,6,1372,42.875
5,9,6,1441,45.03125
6,9,6,1527,47.71875
7,9,6,1540,48.125
8,9,6,1584,49.5
9,9,6,1559,48.71875
10,9,6,1668,52.125
11,9,6,1702,53.1875
12,9,6,1729,54.03125
13,9,6,1651,51.59375
14,9,6,1737,54.28125
15,9,6,1759,54.96875
16,9,6,1750,54.6875
17,9,6,1734,54.1875
18,9,6,1627,50.84375
19,9,6,1743,54.46875
20,9,6,1728,54
4,10,6,1422,44.4375
5,10,6,1504,47
6,10,6,1529,47.78125
7,10,6,1552,48.5
8,10,6,1568,49
9,10,6,1597,49.90625
10,10,6,1623,50.71875
11,10,6,1679,52.46875
12,10,6,1620,50.625
13,10,6,1705,53.28125
14,10,6,1681,52.53125
15,10,6,1752,54.75
16,10,6,1750,54.6875
17,10,6,1775,55.46875
18,10,6,1743,54.46875
19,10,6,1724,53.875
20,10,6,1743,54.46875
4,1,7,1687,54.4193548387097
5,1,7,1724,55.6129032258064
6,1,7,1712,55.2258064516129
7,1,7,1636,52.7741935483871
8,1,7,1636,52.7741935483871
9,1,7,1636,52.7741935483871
10,1,7,1636,52.7741935483871
11,1,7,1636,52.7741935483871
12,1,7,1636,52.7741935483871
13,1,7,1636,52.7741935483871
14,1,7,1636,52.7741935483871
15,1,7,1636,52.7741935483871
16,1,7,1636,52.7741935483871
17,1,7,1636,52.7741935483871
18,1,7,1636,52.7741935483871
19,1,7,1636,52.7741935483871
20,1,7,1636,52.7741935483871
4,2,7,1551,50.0322580645161
5,2,7,1640,52.9032258064516
6,2,7,1735,55.9677419354839
7,2,7,1702,54.9032258064516
8,2,7,1695,54.6774193548387
9,2,7,1714,55.2903225806452
10,2,7,1661,53.5806451612903
11,2,7,1673,53.9677419354839
12,2,7,1741,56.1612903225806
13,2,7,1719,55.4516129032258
14,2,7,1718,55.4193548387097
15,2,7,1707,55.0645161290323
16,2,7,1711,55.1935483870968
17,2,7,1723,55.5806451612903
18,2,7,1746,56.3225806451613
19,2,7,1741,56.1612903225806
20,2,7,1706,55.0322580645161
4,3,7,1495,48.2258064516129
5,3,7,1528,49.2903225806452
6,3,7,1663,53.6451612903226
7,3,7,1621,52.2903225806452
8,3,7,1677,54.0967741935484
9,3,7,1705,55
10,3,7,1724,55.6129032258064
11,3,7,1727,55.7096774193548
12,3,7,1738,56.0645161290323
13,3,7,1738,56.0645161290323
14,3,7,1776,57.2903225806452
15,3,7,1741,56.1612903225806
16,3,7,1741,56.1612903225806
17,3,7,1741,56.1612903225806
18,3,7,1741,56.1612903225806
19,3,7,1741,56.1612903225806
20,3,7,1732,55.8709677419355
4,4,7,1480,47.741935483871
5,4,7,1535,49.5161290322581
6,4,7,1613,52.0322580645161
7,4,7,1673,53.9677419354839
8,4,7,1673,53.9677419354839
9,4,7,1724,55.6129032258064
10,4,7,1763,56.8709677419355
11,4,7,1675,54.0322580645161
12,4,7,1751,56.4838709677419
13,4,7,1711,55.1935483870968
14,4,7,1729,55.7741935483871
15,4,7,1665,53.7096774193548
16,4,7,1737,56.0322580645161
17,4,7,1772,57.1612903225806
18,4,7,1745,56.2903225806452
19,4,7,1772,57.1612903225806
20,4,7,1693,54.6129032258064
4,5,7,1439,46.4193548387097
5,5,7,1552,50.0645161290323
6,5,7,1565,50.4838709677419
7,5,7,1617,52.1612903225806
8,5,7,1658,53.4838709677419
9,5,7,1675,54.0322580645161
10,5,7,1701,54.8709677419355
11,5,7,1700,54.8387096774194
12,5,7,1734,55.9354838709677
13,5,7,1740,56.1290322580645
14,5,7,1765,56.9354838709677
15,5,7,1697,54.741935483871
16,5,7,1668,53.8064516129032
17,5,7,1743,56.2258064516129
18,5,7,1753,56.5483870967742
19,5,7,1708,55.0967741935484
20,5,7,1707,55.0645161290323
4,6,7,1443,46.5483870967742
5,6,7,1423,45.9032258064516
6,6,7,1547,49.9032258064516
7,6,7,1629,52.5483870967742
8,6,7,1585,51.1290322580645
9,6,7,1661,53.5806451612903
10,6,7,1684,54.3225806451613
11,6,7,1646,53.0967741935484
12,6,7,1737,56.0322580645161
13,6,7,1713,55.258064516129
14,6,7,1719,55.4516129032258
15,6,7,1720,55.4838709677419
16,6,7,1687,54.4193548387097
17,6,7,1696,54.7096774193548
18,6,7,1669,53.8387096774194
19,6,7,1732,55.8709677419355
20,6,7,1720,55.4838709677419
4,7,7,1420,45.8064516129032
5,7,7,1493,48.1612903225806
6,7,7,1544,49.8064516129032
7,7,7,1577,50.8709677419355
8,7,7,1607,51.8387096774194
9,7,7,1701,54.8709677419355
10,7,7,1812,58.4516129032258
11,7,7,1707,55.0645161290323
12,7,7,1721,55.5161290322581
13,7,7,1751,56.4838709677419
14,7,7,1766,56.9677419354839
15,7,7,1719,55.4516129032258
16,7,7,1794,57.8709677419355
17,7,7,1788,57.6774193548387
18,7,7,1757,56.6774193548387
19,7,7,1707,55.0645161290323
20,7,7,1730,55.8064516129032
4,8,7,1428,46.0645161290323
5,8,7,1495,48.2258064516129
6,8,7,1542,49.741935483871
7,8,7,1558,50.258064516129
8,8,7,1639,52.8709677419355
9,8,7,1705,55
10,8,7,1657,53.4516129032258
11,8,7,1715,55.3225806451613
12,8,7,1720,55.4838709677419
13,8,7,1739,56.0967741935484
14,8,7,1732,55.8709677419355
15,8,7,1787,57.6451612903226
16,8,7,1728,55.741935483871
17,8,7,1742,56.1935483870968
18,8,7,1752,56.5161290322581
19,8,7,1707,55.0645161290323
20,8,7,1733,55.9032258064516
4,9,7,1433,46.2258064516129
5,9,7,1510,48.7096774193548
6,9,7,1592,51.3548387096774
7,9,7,1559,50.2903225806452
8,9,7,1622,52.3225806451613
9,9,7,1619,52.2258064516129
10,9,7,1666,53.741935483871
11,9,7,1666,53.741935483871
12,9,7,1743,56.2258064516129
13,9,7,1738,56.0645161290323
14,9,7,1766,56.9677419354839
15,9,7,1720,55.4838709677419
16,9,7,1776,57.2903225806452
17,9,7,1766,56.9677419354839
18,9,7,1788,57.6774193548387
19,9,7,1720,55.4838709677419
20,9,7,1730,55.8064516129032
4,10,7,1434,46.258064516129
5,10,7,1489,48.0322580645161
6,10,7,1590,51.2903225806452
7,10,7,1557,50.2258064516129
8,10,7,1594,51.4193548387097
9,10,7,1684,54.3225806451613
10,10,7,1714,55.2903225806452
11,10,7,1697,54.741935483871
12,10,7,1736,56
13,10,7,1759,56.741935483871
14,10,7,1711,55.1935483870968
15,10,7,1787,57.6451612903226
16,10,7,1784,57.5483870967742
17,10,7,1739,56.0967741935484
18,10,7,1767,57
19,10,7,1745,56.2903225806452
20,10,7,1734,55.9354838709677
