FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Christian,Atsu,MID,NEW,4800000,0,78,2.8,5.83333333333333E-07,1.625E-05,0,532313,1,22,0,0,0,2,0,16.3,3069,-2,0,78,2,0.1,0,0.7,5,0,6,0,4,1.4,453888,0,0,0,1,1776,267,0,0,236,Everton,West Brom,Watford,Tottenham,Chelsea,0,3.1,3.3,2.4,112.9
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,5,50,1.51515151515152,1.40291806958474E-07,4.62962962962963E-06,0,450756,0,10,0,0,0,6,0,4.7,18742,3,-1,50,-3,0.7,1,8,6,0,2,0,2,15.6,1320461,0,0,0,1,700,192492,1,0,206,West Ham,Man Utd,Burnley,Leicester,Huddersfield,1.3,0.8,1.9,0.8,73.1
Serge,Aurier,DEF,TOT,5900000,2,77,2.26470588235294,3.83848454636092E-07,1.30508474576271E-05,0,104093,1,13,0,0,0,2,0,13.1,5041,-1,0,77,1,0.1,0,0.8,9,0,6,0,2,0.9,137146,0,0,0,3,1427,241,0,1,335,Watford,West Brom,Newcastle,Leicester,,0,2.5,3.4,1.8,81.4
Charlie,Austin,FWD,SOU,5800000,2,62,1.82352941176471,3.14401622718053E-07,1.06896551724138E-05,0,462665,1,14,0,0,0,7,0,10.7,12555,-7,0,62,7,0.4,0,2.3,9,0,1,0,0,1,447691,0,0,0,1,724,1183,0,0,197,Bournemouth,Everton,Swansea,Man City,,0,1.6,2.2,1.2,86.2
Cesar,Azpilicueta,DEF,CHE,6900000,3,157,4.8,6.95652173913044E-07,2.27536231884058E-05,0,1097833,1,34,0,0,0,2,0,22.8,53524,4,0,157,-4,0.6,0,3.8,22,0,13,0,6,19.8,1473685,1,0,0,4,2970,17044,0,0,812,Swansea,Liverpool,Huddersfield,Newcastle,,0,5,13.1,4.6,149.9
Daniel,Bachmann,GLK,WAT,4000000,0,0,0,0,0,0,3976,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8525,0,0,0,0,0,67,0,0,0,Crystal Palace,Tottenham,Newcastle,Man Utd,,0,0,0,0,0
,Badou Ndiaye,MID,STK,5000000,1,19,0.558823529411765,1.11764705882353E-07,3.8E-06,0,1449,3,13,0,0,0,0,0,3.8,45,-5,1,19,5,0.3,0,1.3,0,0,1,0,1,0,2267,0,0,0,0,778,27,-1,0,78,Burnley,Liverpool,Crystal Palace,Swansea,,0.3,0.3,0.3,0.3,34.4
Eric,Bailly,DEF,MUN,6000000,0,48,1.41176470588235,2.35294117647059E-07,8E-06,0,895838,2,6,0,0,0,1,0,8,5618,0,0,48,0,0.1,0,0.3,3,0,6,0,0,5.8,619561,1,0,0,1,909,484,0,0,218,Arsenal,Brighton,West Ham,Watford,,0,1.2,1.5,1.3,31.4
Leighton,Baines,DEF,EVE,5600000,2,59,1.73529411764706,3.09873949579832E-07,1.05357142857143E-05,0,473495,1,30,0,0,0,2,0,10.5,1861,-4,0,59,4,0.5,0,3,5,0,3,0,2,4.6,153076,0,0,0,2,1549,17079,0,0,296,Newcastle,Huddersfield,Southampton,West Ham,,1.3,0.9,1.5,1.1,70
Tiemoue,Bakayoko,MID,CHE,4900000,2,70,2.7,5.51020408163265E-07,1.42857142857143E-05,0,350101,2,21,0,0,0,2,0,14.3,639,-1,0,70,1,0.1,0,0.5,5,0,9,0,2,1.2,358640,0,0,0,1,1851,54,0,1,322,Swansea,Liverpool,Huddersfield,Newcastle,,0,2,4.9,2,105.2
Sam,Baldock,FWD,BHA,4900000,0,2,0.0588235294117647,1.20048019207683E-08,4.08163265306122E-07,0,2946,0,1,0,0,0,0,0,0.4,32,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0,2578,0,0,0,0,30,26,0,0,4,Burnley,Man Utd,Man City,Liverpool,,0,0,0,0,0.7
Beni,Baningime,MID,EVE,4500000,0,7,0.205882352941176,4.57516339869281E-08,1.55555555555556E-06,0,517,1,2,0,0,0,0,0,1.6,12,0,0,7,0,0.2,0,0.7,0,0,0,0,0,0,649,0,0,0,0,192,13,0,0,20,Newcastle,Huddersfield,Southampton,West Ham,,0.1,0.1,0.1,0.1,1.3
Phil,Bardsley,DEF,BUR,4200000,0,33,0.970588235294118,2.3109243697479E-07,7.85714285714286E-06,0,69086,5,13,0,0,0,0,0,7.9,1113,-3,0,33,3,0,0,0,0,0,4,0,0,0.4,80101,0,0,0,0,1125,101,0,0,193,Stoke,Brighton,Arsenal,Bournemouth,,0.5,0.6,0.5,0.5,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.0294117647058824,4.0290088638195E-09,1.36986301369863E-07,0,14591,0,1,0,0,0,0,0,0.1,29,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,5598,0,0,0,0,53,29,0,0,4,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0,3.9
Ashley,Barnes,FWD,BUR,5400000,8,82,2.5,4.62962962962963E-07,1.51851851851852E-05,0,146946,9,21,0,0,0,8,0,15.2,12214,-1,0,82,1,0.7,0,4,7,0,4,0,0,4.9,402616,0,0,0,0,1966,18836,0,0,261,Stoke,Brighton,Arsenal,Bournemouth,,2.4,2.7,1.5,2.6,130.8
Harvey,Barnes,MID,LEI,4500000,1,1,0.0294117647058824,6.5359477124183E-09,2.22222222222222E-07,0,11,0,0,0,0,0,0,0,0.2,11,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0,34,0,0,0,0,1,34,0,0,2,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0,0.3
Modou,Barrow,MID,SWA,5000000,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2,0,0,0,Man City,Chelsea,Bournemouth,Southampton,Stoke,0,0,0,0,0
Gareth,Barry,MID,WBA,4400000,0,56,2.2,5E-07,1.27272727272727E-05,0,135847,4,35,0,0,0,1,0,12.4,661,-1,1,56,1,0,0,0,0,0,4,0,2,0.8,70658,0,0,0,0,1921,12,-1,0,287,Liverpool,Newcastle,Tottenham,Crystal Palace,,0,0,0,0,82
Kyle,Bartley,DEF,SWA,4300000,0,4,0.121212121212121,2.81888653981677E-08,9.30232558139535E-07,0,5796,2,3,0,0,0,0,0,0.9,22,-2,0,4,2,0,0,0,0,0,0,0,0,0.1,1405,0,0,0,0,210,19,0,0,25,Man City,Chelsea,Bournemouth,Southampton,Stoke,0.1,0.1,0.2,0.1,10.5
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.59259259259259E-07,3.08641975308642E-06,0,181871,0,7,0,0,0,2,0,3.1,57,-4,0,25,4,0,0,0,3,0,1,0,1,0.5,121640,1,0,0,1,351,1,0,0,77,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0,25.7
Moritz,Bauer,DEF,STK,4500000,7,32,0.941176470588235,2.09150326797386E-07,7.11111111111111E-06,0,33400,2,14,0,0,0,0,0,7.1,736,0,0,32,0,0.7,0,3,1,0,4,0,0,0.7,63460,0,0,0,0,969,2899,0,0,160,Burnley,Liverpool,Crystal Palace,Swansea,,0.5,0.5,0.9,0.5,36.2
Jan,Bednarek,DEF,SOU,4100000,13,13,0.382352941176471,9.32568149210904E-08,3.17073170731707E-06,0,10249,0,3,0,0,0,1,0,3.2,416,-4,0,13,4,0.8,0,3.3,0,0,1,0,0,0.1,5612,0,0,0,1,180,2645,0,0,48,Bournemouth,Everton,Swansea,Man City,,0,0.2,0.4,0.2,8.3
Asmir,Begovic,GLK,BOU,4500000,3,98,2.8,6.22222222222222E-07,2.17777777777778E-05,0,283038,2,58,0,101,0,0,0,21.8,10162,0,0,98,0,0.4,0,1.8,4,0,5,0,0,4.2,220730,0,0,1,3,3150,858,0,0,571,Southampton,Swansea,Burnley,,,0,2.7,2.8,2.4,73.5
Valon,Behrami,MID,WAT,4500000,0,0,0,0,0,0,10032,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,647,0,0,0,0,0,1,0,0,0,Crystal Palace,Tottenham,Newcastle,Man Utd,,0,0,0,0,0
Hector,Bellerin,DEF,ARS,5900000,0,107,3.5,5.93220338983051E-07,1.8135593220339E-05,0,936648,5,41,0,0,0,2,0,18.1,7438,-1,0,107,1,0.3,0,2,7,0,10,0,2,10.4,709865,0,0,0,1,2690,22309,0,0,538,West Ham,Man Utd,Burnley,Leicester,Huddersfield,5.1,2.3,6.4,2.5,141.5
Yohan,Benalouane,DEF,LEI,4200000,0,0,0,0,0,0,3744,0,0,0,0,0,0,0,0,32,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1685,0,0,0,0,0,21,0,0,0,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0,0
Christian,Benteke,FWD,CRY,7500000,1,76,2.8,3.73333333333333E-07,1.01333333333333E-05,0,519631,6,36,0,0,0,2,0,10.1,1686,-5,0,76,5,0.1,1,0.7,5,0,6,0,7,2.5,189360,0,0,0,0,2172,4557,0,0,144,Watford,Leicester,Stoke,West Brom,,2.4,2.9,2.7,3.1,147.3
Saido,Berahino,FWD,STK,5600000,0,20,0.588235294117647,1.05042016806723E-07,3.57142857142857E-06,0,35776,0,13,0,0,0,0,0,3.6,86,-4,0,20,4,0.1,1,0.3,0,0,2,0,1,0.3,15425,0,0,0,0,483,64,0,0,42,Burnley,Liverpool,Crystal Palace,Swansea,,0.3,0.3,0.3,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,Crystal Palace,Tottenham,Newcastle,Man Utd,,0,0,0,0,0
,Bernardo Silva,MID,MCI,7200000,1,88,2.66666666666667,3.7037037037037E-07,1.22222222222222E-05,0,207713,0,9,0,0,0,4,0,12.2,3498,-8,0,88,8,0.2,0,1.3,3,0,7,0,5,1.2,159129,0,0,0,1,1240,6754,0,0,357,Swansea,West Ham,Huddersfield,Brighton,Southampton,2.5,2,5.2,2.2,110.3
Ryan,Bertrand,DEF,SOU,5300000,9,87,2.8,5.28301886792453E-07,1.64150943396226E-05,0,803085,2,47,0,0,0,0,0,16.4,2417,-2,0,87,2,0.5,0,2.8,4,0,6,0,5,5,308836,0,0,0,1,2785,1942,0,0,502,Bournemouth,Everton,Swansea,Man City,,0,2.3,4.1,2.3,127.9
Muhamed,Besic,MID,EVE,4200000,0,2,1,2.38095238095238E-07,4.76190476190476E-07,0,15509,0,0,0,0,0,0,0,0.5,73,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,11671,0,0,0,0,46,12,0,0,10,Newcastle,Huddersfield,Southampton,West Ham,,0,0,0,0,3
Philip,Billing,MID,HUD,4400000,1,18,0.529411764705882,1.20320855614973E-07,4.09090909090909E-06,0,38564,3,9,0,0,0,0,0,4.1,49,-1,0,18,1,0.2,0,0.7,0,0,3,0,0,0.2,32162,0,0,0,0,623,9,0,0,78,Everton,Man City,Chelsea,Arsenal,,0,0.3,0.6,0.3,16.4
Daley,Blind,DEF,MUN,5100000,1,21,0.617647058823529,1.21107266435986E-07,4.11764705882353E-06,0,189522,0,0,0,0,0,0,0,4.1,89,-4,0,21,4,0.1,0,0.3,0,0,3,0,0,0.9,135942,0,0,0,0,284,49,0,0,91,Arsenal,Brighton,West Ham,Watford,,0,0.3,0.6,0.3,15.2
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,997,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,17,0,0,0,1,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6605,0,1,0,0,0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,71,0,0,0,5,Burnley,Liverpool,Crystal Palace,Swansea,,0,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,2,32,0.941176470588235,1.47058823529412E-07,5E-06,0,15580,0,14,0,0,0,1,0,5,547,-1,0,32,1,0.6,0,4,0,0,3,0,1,0.3,18311,0,0,0,0,738,2094,0,0,75,Newcastle,Huddersfield,Southampton,West Ham,,0.5,0.5,0.5,0.5,34.7
Gaetan,Bong,DEF,BHA,4400000,3,48,2.3,5.22727272727273E-07,1.09090909090909E-05,0,13882,2,29,0,0,0,0,0,10.9,430,-1,0,48,1,0.3,0,1.3,3,0,4,0,0,0.2,15312,1,0,0,1,1877,92,0,0,297,Burnley,Man Utd,Man City,Liverpool,,0,1.5,3.6,1.5,45.7
Wilfried,Bony,FWD,SWA,5600000,0,33,2.2,3.92857142857143E-07,5.89285714285714E-06,0,88287,2,8,0,0,0,2,0,5.9,50,-4,0,33,4,0,0,0,3,0,2,0,1,0.1,87792,0,0,0,0,701,29,0,0,103,Man City,Chelsea,Bournemouth,Southampton,Stoke,0,0,0,0,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0,0,0,0,158662,0,0,0,0,0,0,0,0,888,-4,0,0,4,0,0,0,0,0,0,0,0,1.4,10122,0,0,0,0,0,91,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,0,55,1.61764705882353,2.83797729618163E-07,9.64912280701754E-06,0,23723,1,24,0,0,0,2,0,9.6,192,-3,0,55,3,0.1,0,0.3,2,0,1,0,2,0.2,17882,0,0,0,0,1206,20,0,0,215,Bournemouth,Everton,Swansea,Man City,,0,1.1,1.9,0.8,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0,0,0,0,199971,0,0,0,0,0,0,0,0,2128,-1,0,0,1,0,0,0,0,0,0,0,0,3.2,110568,0,0,0,0,0,1251,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0,0
Robbie,Brady,MID,BUR,5300000,0,56,3.7,6.9811320754717E-07,1.05660377358491E-05,0,212776,3,12,0,0,0,1,0,10.6,87,-2,0,56,2,0,0,0,7,0,6,0,4,0.4,199012,0,0,0,1,1277,19,0,0,216,Stoke,Brighton,Arsenal,Bournemouth,,0,0,0,0,97.3
Claudio,Bravo,GLK,MCI,4500000,0,1,0.0303030303030303,6.73400673400673E-09,2.22222222222222E-07,0,40282,0,0,0,0,0,0,0,0.2,128,-5,0,1,5,0,0,0,0,0,0,0,0,0.5,9188,0,0,0,0,44,260,0,0,4,Swansea,West Ham,Huddersfield,Brighton,Southampton,0,0,0,0,0.3
Miguel,Britos,DEF,WAT,4300000,0,22,0.647058823529412,1.50478796169631E-07,5.11627906976744E-06,0,145778,3,16,0,0,0,1,0,5.1,67,-2,0,22,2,0,0,0,0,0,2,0,0,0.5,115433,0,0,0,0,795,15,0,1,149,Crystal Palace,Tottenham,Newcastle,Man Utd,,0.5,0.3,0.3,0.3,27.3
Leon,Britton,MID,SWA,4400000,0,9,0.272727272727273,6.19834710743802E-08,2.04545454545455E-06,0,8903,1,1,0,0,0,0,0,2,22,-1,0,9,1,0,0,0,0,0,3,0,0,0.1,4208,0,0,0,0,269,13,0,0,25,Man City,Chelsea,Bournemouth,Southampton,Stoke,0.1,0.1,0.2,0.1,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,1.2,2.30769230769231E-07,3.07692307692308E-06,0,3955,0,8,0,0,0,0,0,3.1,19,-3,0,16,3,0,0,0,0,0,0,0,0,0,694,0,0,0,0,302,17,0,0,60,Burnley,Man Utd,Man City,Liverpool,,0,0,0,0,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,25,0,0,0,Arsenal,Man City,Leicester,Man Utd,Everton,0,0,0,0,0
,Bruno,DEF,BHA,4500000,2,68,3.1,6.88888888888889E-07,1.51111111111111E-05,0,107354,3,20,0,0,0,0,0,15.1,1453,0,0,68,0,0.1,0,0.5,5,0,8,0,0,0.8,136882,0,0,0,0,1746,58,0,0,355,Burnley,Man Utd,Man City,Liverpool,,0,2.5,5.7,2.5,47.7
Chris,Brunt,MID,WBA,5000000,3,67,3,6E-07,1.34E-05,0,139720,3,19,0,0,0,0,0,13.4,269,-5,0,67,5,0.4,0,2,6,0,7,0,6,0.5,127926,0,0,0,0,1557,301,0,0,321,Liverpool,Newcastle,Tottenham,Crystal Palace,,2.4,2.2,2.4,2,101.9
Harry,Bunn,MID,HUD,4500000,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,1,0,0,0,Everton,Man City,Chelsea,Arsenal,,0,0,0,0,0
Oliver,Burke,MID,WBA,4900000,0,22,0.647058823529412,1.32052821128451E-07,4.48979591836735E-06,0,4124,0,11,0,0,0,0,0,4.5,40,-6,0,22,6,0.1,0,0.3,0,0,0,0,2,0,4417,0,0,0,0,342,10,0,0,71,Liverpool,Newcastle,Tottenham,Crystal Palace,,0.3,0.3,0.3,0.3,22
Reece,Burke,DEF,WHU,4000000,0,0,0,0,0,0,1922,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,0,0,0,0,0,3,0,0,0,Arsenal,Man City,Leicester,Man Utd,Everton,0,0,0,0,0
Matt,Butcher,MID,BOU,4500000,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,6,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0,0
Jack,Butland,GLK,STK,5000000,3,105,3.4,6.8E-07,2.1E-05,0,177110,0,57,0,128,0,0,0,21,1195,0,0,105,0,0.5,0,2.3,12,0,5,0,0,3,158597,1,0,0,2,2790,7255,0,0,599,Burnley,Liverpool,Crystal Palace,Swansea,,3.6,3.1,4.8,3,88.3
