FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marcos,Alonso,DEF,CHE,6900000,2,70,4.7,6.81159420289855E-07,1.01449275362319E-05,0,757264,3,12,0,0,0,3,0,10.1,26662,-1,0,70,1,0.9,0,6,5,0,6,0,0,15.9,707690,0,0,0,2,1295,30588,0,0,285,West Ham,Huddersfield,Southampton,Everton,Brighton,5.9,5.7,5.4,3.9,6.2,5.5,4.4,5.2,6.2,5.2,6.9,6.2,4.2,4.8,6.6,5.7,5.8,6.7,5.8,7,5.4,5.8,5.3,84.2
Daniel,Amartey,MID,LEI,4300000,0,1,0.0666666666666667,1.55038759689922E-08,2.32558139534884E-07,0,14093,0,2,0,0,0,0,0,0.2,522,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,10289,0,0,0,0,18,540,0,0,2,Newcastle,Southampton,Crystal Palace,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
Ethan,Ampadu,MID,CHE,4500000,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,36,0,0,0,West Ham,Huddersfield,Southampton,Everton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7469,0,3,0,0,0,0,0,1.2,29,0,0,6,0,0,0,0,0,0,1,0,0,0,3619,0,0,0,0,198,0,0,0,11,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,37427,0,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0.4,50852,0,0,0,0,0,1253,0,0,0,Bournemouth,Watford,Leicester,Swansea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,MID,WHU,7400000,2,30,2.7,3.64864864864865E-07,4.05405405405405E-06,0,74409,1,14,0,0,0,1,0,4.1,361,-1,0,30,1,0.1,0,0.8,1,0,3,0,1,0.2,72065,0,0,0,0,777,389,0,0,77,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,2.2,3,1.7,3,2,0,4.3,1.6,2.9,2.9,1.5,1.9,1.4,2.4,2.5,2.5,2.4,1.7,2.5,1.4,1.6,1.6,3.5,49
Scott,Arfield,MID,BUR,4900000,1,20,1.33333333333333,2.72108843537415E-07,4.08163265306122E-06,0,17153,3,7,0,0,0,1,0,4.1,520,-1,0,20,1,0.1,0,0.3,3,0,2,0,0,0.2,20717,0,0,0,1,555,102,0,0,61,Watford,Stoke,Brighton,Tottenham,Man Utd,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.7,1.2,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,18.5
Marko,Arnautovic,MID,WHU,6800000,1,13,0.866666666666667,1.27450980392157E-07,1.91176470588235E-06,0,99277,1,19,0,0,0,0,0,1.9,496,-2,0,13,2,0.2,0,1.5,0,0,0,0,0,0.5,32010,0,0,0,0,589,88,0,1,49,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,0.4,0.5,0.4,0.5,0.4,0,0.9,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,35.3
Harry,Arter,MID,BOU,4900000,0,23,2.3,4.69387755102041E-07,4.69387755102041E-06,0,33071,3,10,0,0,0,1,0,4.7,1014,-1,0,23,1,0.6,0,2.8,0,0,3,0,0,0.4,11730,0,0,0,0,787,240,0,0,121,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,1.5,1.2,1.6,1.2,2.3,2.6,1.4,2.1,1.6,1.5,1.7,1.5,2.1,1.4,1.7,2,1.7,2.1,1.2,1.7,1.6,2.2,1.6,24.1
Christian,Atsu,MID,NEW,4900000,0,37,3.4,6.93877551020408E-07,7.55102040816327E-06,0,408899,0,9,0,0,0,1,0,7.6,8979,-1,0,37,1,0,0,0,2,0,3,0,2,1.4,338366,0,0,0,0,913,470,0,0,105,Leicester,Everton,Arsenal,West Ham,Man City,3.6,4.6,2,2.8,2.2,3.2,2.7,4.1,1.9,3.4,2.7,3.3,3.1,1.9,3.3,2.4,4.5,2.6,3.9,3.1,3.8,3,3,54.2
Serge,Aurier,DEF,TOT,5900000,0,10,0.666666666666667,1.12994350282486E-07,1.69491525423729E-06,0,37009,0,6,0,0,0,0,0,1.7,2139,-1,0,10,1,0.1,0,0.3,0,0,1,0,0,0.3,43990,0,0,0,0,456,1218,0,1,53,Stoke,Brighton,Man City,Burnley,Southampton,0.3,0.3,0.3,0.3,0.3,0,0.7,0.3,0.3,0.3,0.3,0.3,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,20.8
Charlie,Austin,FWD,SOU,6100000,7,36,2.4,3.9344262295082E-07,5.90163934426229E-06,0,80704,0,5,0,0,0,4,0,6,6073,-4,-1,36,4,0.9,0,5.5,6,0,0,0,0,1.8,107938,0,0,0,1,314,40509,1,0,123,Arsenal,Leicester,Chelsea,Huddersfield,Tottenham,2.1,2.2,1.6,2.6,1.6,1.3,2.5,2.3,1.8,2.2,2.1,2.1,1.8,2.6,2,2,2,1.2,1.4,1.8,2.1,1.9,1.7,41.2
Andre,Ayew,MID,WHU,6900000,1,37,2.46666666666667,3.57487922705314E-07,5.36231884057971E-06,0,85845,2,19,0,0,0,2,0,5.4,2123,-1,0,37,1,0.1,0,0.8,2,0,1,0,2,1.1,40012,0,0,0,0,705,197,0,0,127,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,1.9,2.6,1.4,2.6,1.7,0,3.7,1.4,2.5,2.6,1.3,1.6,1.2,2.1,2.2,2.1,2.1,1.4,2.1,1.2,1.4,1.3,3.1,34.2
Jordan,Ayew,FWD,SWA,5100000,2,39,2.6,5.09803921568628E-07,7.64705882352941E-06,0,262232,0,18,0,0,0,1,0,7.6,16489,1,0,39,-1,0.4,0,1.8,0,0,5,0,2,3.6,326528,0,0,0,0,1251,7180,0,0,128,West Brom,Man City,Everton,Crystal Palace,Liverpool,2.7,2,2.2,2.9,1.8,2.6,2.1,2.3,2.4,2.4,2.1,2.1,2.3,2.9,2,2.2,1.5,2.3,3,2.2,1.6,2.3,2.9,60.6
Cesar,Azpilicueta,DEF,CHE,6900000,2,78,5.6,8.11594202898551E-07,1.1304347826087E-05,0,416367,1,12,0,0,0,1,0,11.3,39298,4,0,78,-4,0.4,0,2.8,11,0,6,0,5,22.3,916541,1,0,0,2,1260,35113,0,0,374,West Ham,Huddersfield,Southampton,Everton,Brighton,7,6.8,6.9,5.2,7.5,7.1,5.7,6.7,7.4,6.7,8.3,7.7,5.5,6.2,7.8,7.3,7.4,8,7.4,8.4,6.9,7.4,6.8,65.3
Eric,Bailly,DEF,MUN,6000000,0,46,5.8,9.66666666666667E-07,7.66666666666667E-06,0,780178,2,3,0,0,0,1,0,7.5,25979,0,1,46,0,0,0,0,3,0,6,0,0,7.4,580225,0,0,0,1,720,151,-1,0,198,Man City,Bournemouth,West Brom,Leicester,Burnley,0,8.1,6,4.9,8.4,8.2,3.9,8.4,6.1,6,8.7,5.6,8,5.9,8.7,5.7,7.8,5,8.7,5.6,8.7,6.2,8,28.3
Leighton,Baines,DEF,EVE,5700000,0,36,2.8,4.91228070175439E-07,6.31578947368421E-06,0,375640,1,25,0,0,0,2,0,6.3,16609,-3,0,36,3,0.4,0,2,2,0,1,0,1,4,64610,0,0,0,1,1099,171,0,0,189,Liverpool,Newcastle,Swansea,Chelsea,West Brom,0,1.8,2.7,2.9,2.1,1.8,3.2,2,3.5,2.9,1.4,4.2,2.8,2.1,3.5,2,2.3,3.2,1.9,3.1,2,3,2.2,51
Tiemoue,Bakayoko,MID,CHE,5100000,1,39,3,5.88235294117647E-07,7.64705882352941E-06,0,197925,2,8,0,0,0,1,0,7.6,25931,1,0,39,-1,0.3,0,1.5,3,0,4,0,2,2.6,284122,0,0,0,0,940,1503,0,0,178,West Ham,Huddersfield,Southampton,Everton,Brighton,2.6,2.5,2.4,2.9,2.4,2.4,1.9,2.7,2.3,2.9,2.8,2.9,1.6,1.8,3,2.6,2.4,3.2,2.7,3.5,3.4,2.2,2.8,49.5
Sam,Baldock,FWD,BHA,4900000,0,0,0,0,0,0,1526,0,0,0,0,0,0,0,0,64,-1,0,0,1,0,0,0,0,0,0,0,0,0,957,0,0,0,0,0,61,0,0,0,Huddersfield,Tottenham,Burnley,Watford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beni,Baningime,MID,EVE,4500000,0,3,0.2,4.44444444444444E-08,6.66666666666667E-07,0,147,0,1,0,0,0,0,0,0.7,27,0,0,3,0,0.1,0,0.3,0,0,0,0,0,0,262,0,0,0,0,104,22,0,0,10,Liverpool,Newcastle,Swansea,Chelsea,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Phil,Bardsley,DEF,BUR,4300000,1,3,0.2,4.65116279069767E-08,6.97674418604651E-07,0,5461,1,2,0,0,0,0,0,0.7,169,-2,0,3,2,0.2,0,0.8,0,0,0,0,0,0.1,2068,0,0,0,0,180,583,0,0,35,Watford,Stoke,Brighton,Tottenham,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Ross,Barkley,MID,EVE,7400000,0,0,0,0,0,0,9373,0,0,0,0,0,0,0,0,97,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,793,0,0,0,0,0,27,0,0,0,Liverpool,Newcastle,Swansea,Chelsea,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Barnes,FWD,BUR,5200000,1,21,1.5,2.88461538461538E-07,4.03846153846154E-06,0,41083,2,4,0,0,0,1,0,4,2817,-3,0,21,3,0.5,0,2.8,1,0,2,0,0,0.5,22157,0,0,0,0,520,1555,0,0,61,Watford,Stoke,Brighton,Tottenham,Man Utd,0.8,1.3,0.9,0.9,0.8,0.8,1,0.9,1,0.9,0.8,0.9,0.9,1.4,0.9,0.8,0.9,1.1,1.1,1.2,1.1,0.8,1,31.5
Modou,Barrow,MID,SWA,5000000,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,0,0,0,West Brom,Man City,Everton,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gareth,Barry,MID,WBA,4500000,1,32,2.3,5.11111111111111E-07,7.11111111111111E-06,0,98301,2,19,0,0,0,0,0,7.1,7805,0,0,32,0,0.3,0,1.5,0,0,2,0,2,1.2,57462,0,0,0,0,1125,150,0,0,159,Swansea,Liverpool,Man Utd,Stoke,Everton,0,0,1.8,1.4,2.7,2.2,1.5,1.8,1.6,1.2,1.8,1.4,2.6,1.6,2,1.7,1.9,2.3,1.2,1.7,1.6,1.8,1.4,46.9
Kyle,Bartley,DEF,SWA,4300000,0,3,0.2,4.65116279069767E-08,6.97674418604651E-07,0,5093,0,1,0,0,0,0,0,0.7,44,-2,0,3,2,0,0,0,0,0,0,0,0,0.1,709,0,0,0,0,75,8,0,0,18,West Brom,Man City,Everton,Crystal Palace,Liverpool,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.9
Michy,Batshuayi,FWD,CHE,8100000,0,16,2.3,2.83950617283951E-07,1.97530864197531E-06,0,153193,0,6,0,0,0,2,0,2,923,-4,0,16,4,0,0,0,3,0,0,0,0,0.6,96534,1,0,0,1,194,316,0,0,56,West Ham,Huddersfield,Southampton,Everton,Brighton,1.9,1.7,1.7,1.8,2,2.4,1.2,2,1.9,1.9,2.2,2.2,1.3,1.8,2.3,1.7,1.7,2.3,1.9,2.4,1.9,1.9,1.9,16.1
Jan,Bednarek,DEF,SOU,4200000,0,0,0,0,0,0,8002,0,0,0,0,0,0,0,0,143,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1341,0,0,0,0,0,61,0,0,0,Arsenal,Leicester,Chelsea,Huddersfield,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmir,Begovic,GLK,BOU,4500000,2,53,3.5,7.77777777777778E-07,1.17777777777778E-05,0,139270,1,17,0,46,0,0,0,11.8,7120,0,0,53,0,1,0,4.3,3,0,4,0,0,4.8,111570,0,0,0,2,1350,7867,0,0,271,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,4.3,2.4,4,2.8,4.9,3.6,3.9,4.3,3.8,3.6,3.8,3.5,3.9,2.8,4,4.4,4.5,5.1,3,4,3.6,3.4,3.5,33.1
Valon,Behrami,MID,WAT,4500000,0,0,0,0,0,0,9448,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0.1,613,0,0,0,0,0,3,0,0,0,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hector,Bellerin,DEF,ARS,5900000,0,56,3.7,6.27118644067797E-07,9.49152542372881E-06,0,451683,2,19,0,0,0,0,0,9.5,15078,-1,0,56,1,0.8,0,4.5,4,0,7,0,1,9.6,224914,0,0,0,1,1350,16552,0,0,275,Southampton,West Ham,Newcastle,Liverpool,Crystal Palace,3.1,3.2,4.8,4.9,3.7,3,4.4,2.6,5.6,2.7,4.4,2.9,3.6,3.3,4.6,2.2,4.7,4.6,2.7,5.6,1.9,4.7,3,64.5
Yohan,Benalouane,DEF,LEI,4300000,0,0,0,0,0,0,2706,0,0,0,0,0,0,0,0,74,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,813,0,0,0,0,0,42,0,0,0,Newcastle,Southampton,Crystal Palace,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Benteke,FWD,CRY,7600000,2,15,1.5,1.97368421052632E-07,1.97368421052632E-06,0,382911,3,12,0,0,0,0,0,2,2215,-4,0,15,4,0.2,0,1.5,0,0,2,0,0,2.1,42798,0,0,0,0,761,4556,0,0,-6,Bournemouth,Watford,Leicester,Swansea,Arsenal,1.1,0.9,0.8,0.8,1.1,0.9,0.8,1,0.8,0.8,1.3,0.8,1,1.2,0.8,0.8,1.1,0.8,1.2,0.9,1.2,1.1,1.3,35.9
Saido,Berahino,FWD,STK,5600000,0,11,0.733333333333333,1.30952380952381E-07,1.96428571428571E-06,0,31029,0,1,0,0,0,0,0,1.9,503,-4,1,11,4,0,1,0,0,0,2,0,1,0.3,12214,0,0,0,0,246,130,-1,0,22,Tottenham,Burnley,West Ham,West Brom,Huddersfield,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.3
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardo Silva,MID,MCI,7400000,1,25,1.66666666666667,2.25225225225225E-07,3.37837837837838E-06,0,99303,0,2,0,0,0,1,0,3.3,966,-6,1,25,6,0.1,0,0.8,0,0,1,0,1,0.6,20126,0,0,0,0,358,163,-1,0,102,Man Utd,Swansea,Tottenham,Bournemouth,Newcastle,0.8,1.4,0.9,1.1,1.1,1,0.8,0.8,1.2,1.1,1,1.1,0.8,0.8,0.9,0.9,1.1,0.9,0.8,1.3,1,1.5,1,33.6
Ryan,Bertrand,DEF,SOU,5400000,3,50,3.3,6.11111111111111E-07,9.25925925925926E-06,0,543185,0,18,0,0,0,0,0,9.3,15588,-1,0,50,1,0.6,0,3.5,4,0,4,0,2,8.2,251901,0,0,0,1,1345,8732,0,0,273,Arsenal,Leicester,Chelsea,Huddersfield,Tottenham,3.8,3.1,3.5,4.5,3.3,2.3,4.7,4.3,3.6,3.9,3.4,3.6,3.4,3.4,3.1,3.1,3.6,2.5,3.1,2.7,3.2,2.1,2.5,68.3
Muhamed,Besic,MID,EVE,4300000,0,2,0.133333333333333,3.10077519379845E-08,4.65116279069767E-07,0,10344,0,0,0,0,0,0,0,0.5,442,-2,0,2,2,0,0,0,0,0,0,0,0,0.2,8857,0,0,0,0,46,554,0,0,10,Liverpool,Newcastle,Swansea,Chelsea,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3
Philip,Billing,MID,HUD,4500000,0,12,0.8,1.77777777777778E-07,2.66666666666667E-06,0,34613,2,5,0,0,0,0,0,2.7,596,0,0,12,0,0,0,0,0,0,3,0,0,0.3,31568,0,0,0,0,420,11,0,0,52,Brighton,Chelsea,Watford,Southampton,Stoke,0,0,0,0,0,0,0,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,12.6
Daley,Blind,DEF,MUN,5200000,0,19,1.26666666666667,2.43589743589744E-07,3.65384615384615E-06,0,173376,0,0,0,0,0,0,0,3.7,2087,-3,0,19,3,0,0,0,0,0,3,0,0,1.1,132147,0,0,0,0,271,339,0,0,84,Man City,Bournemouth,West Brom,Leicester,Burnley,0.6,0.8,0.6,0.6,0.9,0.9,0.6,0.9,0.6,0.6,1.4,0.6,0.8,1.3,1,0.6,0.8,0.6,1.1,0.6,1.1,0.6,0.9,14.8
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,945,0,0,0,0,0,0,0,0.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,17,1,0,0,1,West Ham,Huddersfield,Southampton,Everton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6415,0,1,0,0,0,0,0,0.4,21,0,0,2,0,0,0,0,0,0,0,0,0,0,1864,0,0,0,0,71,2,0,0,5,Tottenham,Burnley,West Ham,West Brom,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,0,0,0,0,0,0,3753,0,0,0,0,0,0,0,0,75,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,612,0,0,0,0,0,37,0,0,0,Liverpool,Newcastle,Swansea,Chelsea,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaetan,Bong,DEF,BHA,4400000,0,17,1.13333333333333,2.57575757575758E-07,3.86363636363636E-06,0,5557,1,11,0,0,0,0,0,3.9,278,-1,0,17,1,0.2,0,0.8,0,0,2,0,0,0.1,4887,0,0,0,0,630,370,0,0,120,Huddersfield,Tottenham,Burnley,Watford,Chelsea,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0.6,0.6,0.8,0.6,0.6,0.6,1,1.4,0.7,0.6,0.7,0.6,13.3
Wilfried,Bony,FWD,SWA,5700000,6,17,1.13333333333333,1.98830409356725E-07,2.98245614035088E-06,0,54404,2,5,0,0,0,1,0,3,960,-3,0,17,3,0.4,0,2.5,0,0,1,0,1,0.3,65544,0,0,0,0,483,7780,0,0,51,West Brom,Man City,Everton,Crystal Palace,Liverpool,0.7,0.6,0.6,0.8,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.8,27.5
Artur,Boruc,GLK,BOU,4200000,0,0,0,0,0,0,135551,0,0,0,0,0,0,0,0,2144,-3,0,0,3,0,0,0,0,0,0,0,0,1.6,4441,0,0,0,0,0,204,0,0,0,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,2,27,1.8,3.15789473684211E-07,4.73684210526316E-06,0,13007,0,11,0,0,0,1,0,4.7,862,-3,0,27,3,0.4,0,2.5,2,0,0,0,1,0.2,9888,0,0,0,0,589,766,0,0,119,Arsenal,Leicester,Chelsea,Huddersfield,Tottenham,1.4,1.2,1.1,1.7,0.9,0.9,1.4,1.2,1,1,1.1,1,1.1,1.1,1.2,1.5,1.1,0.9,0.9,1,1.3,1.2,0.9,46.3
,Brad Smith,DEF,BOU,3900000,0,0,0,0,0,0,147891,0,0,0,0,0,0,0,0,3404,-1,0,0,1,0,0,0,0,0,0,0,0,2.7,52449,0,0,0,0,0,879,0,0,0,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie,Brady,MID,BUR,5500000,1,56,3.7,6.72727272727273E-07,1.01818181818182E-05,0,168970,3,12,0,0,0,1,0,10.2,37726,0,0,56,0,1,0,5.3,7,0,6,0,4,1.2,198206,0,0,0,1,1277,1135,0,0,216,Watford,Stoke,Brighton,Tottenham,Man Utd,0,0,0,0,0,3.3,3.3,3.3,3.6,3.6,2.4,4.4,3.6,5,3.4,3.2,3.4,3.7,3.9,3.3,3.5,2.5,4.1,97.3
Claudio,Bravo,GLK,MCI,4700000,0,1,0.0666666666666667,1.41843971631206E-08,2.12765957446809E-07,0,34737,0,0,0,0,0,0,0,0.2,590,-3,0,1,3,0,0,0,0,0,0,0,0,0.5,6938,0,0,0,0,44,119,0,0,4,Man Utd,Swansea,Tottenham,Bournemouth,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Miguel,Britos,DEF,WAT,4400000,0,20,1.33333333333333,3.03030303030303E-07,4.54545454545455E-06,0,129964,3,12,0,0,0,1,0,4.5,2091,-1,0,20,1,0.3,0,1.5,0,0,2,0,0,0.8,114975,0,0,0,0,704,41,0,1,129,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,0,1.8,1.1,1,0.7,0.7,0.7,0.7,0.7,0.9,0.7,1,0.7,0.8,0.7,0.7,0.7,0.7,0.9,1.7,0.9,0.7,0.7,24.4
Leon,Britton,MID,SWA,4400000,0,9,0.6,1.36363636363636E-07,2.04545454545455E-06,0,7107,1,1,0,0,0,0,0,2,170,-1,0,9,1,0,0,0,0,0,3,0,0,0.1,3820,0,0,0,0,269,47,0,0,25,West Brom,Man City,Everton,Crystal Palace,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.6
Isaiah,Brown,MID,BHA,5200000,2,12,0.8,1.53846153846154E-07,2.30769230769231E-06,0,3436,0,6,0,0,0,0,0,2.3,53,-3,0,12,3,0.3,0,1.3,0,0,0,0,0,0,503,0,0,0,0,213,75,0,0,45,Huddersfield,Tottenham,Burnley,Watford,Chelsea,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,8.9
,Bruno,DEF,BHA,4500000,0,43,3.1,6.88888888888889E-07,9.55555555555555E-06,0,21631,3,14,0,0,0,0,0,9.6,2313,0,0,43,0,0.5,0,2.3,4,0,5,0,0,0.8,43628,0,0,0,0,1172,3361,0,0,215,Huddersfield,Tottenham,Burnley,Watford,Chelsea,2.9,2.8,3.3,3.2,3,2.6,3,3,3,3,4.2,2.8,2.8,3.6,1.8,2.3,3,4.3,3.7,3.4,2.9,3.4,2.4,26.4
Chris,Brunt,MID,WBA,5100000,0,19,1.26666666666667,2.48366013071895E-07,3.72549019607843E-06,0,127972,0,2,0,0,0,0,0,3.7,2304,-4,0,19,4,0,0,0,3,0,3,0,1,0.6,118940,0,0,0,0,402,8,0,0,90,Swansea,Liverpool,Man Utd,Stoke,Everton,0,0.6,0.7,0.6,1.1,0.9,0.6,0.6,0.6,0.6,0.7,0.6,1.1,0.6,0.8,0.6,0.7,0.9,0.6,0.6,0.6,0.6,0.6,21.8
Harry,Bunn,MID,HUD,4500000,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,4,0,0,0,Brighton,Chelsea,Watford,Southampton,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Burke,MID,WBA,5100000,1,7,0.466666666666667,9.15032679738562E-08,1.37254901960784E-06,0,3124,0,1,0,0,0,0,0,1.4,34,-4,0,7,4,0.1,0,0.5,0,0,0,0,1,0,3408,0,0,0,0,56,8,0,0,21,Swansea,Liverpool,Man Utd,Stoke,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Jack,Butland,GLK,STK,5000000,3,33,2.8,5.6E-07,6.6E-06,0,126072,0,23,0,30,0,0,0,6.6,1809,0,0,33,0,0.2,0,0.8,3,0,2,0,0,2.3,89864,0,0,0,1,1080,357,0,0,194,Tottenham,Burnley,West Ham,West Brom,Huddersfield,2.5,2.5,3.6,3.2,2.5,2.6,2.8,1.7,3.7,2.7,2.3,3.2,2,2.6,2,2.5,1.8,2.9,2.7,2.8,2.1,4.1,2.3,22.8
