FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ainsley,Maitland-Niles,MID,ARS,4500000,0,1,0.0333333333333333,7.40740740740741E-09,2.22222222222222E-07,0,470,0,0,0,0,0,0,0,0.2,64,0,0,1,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,1,38,0,0,3,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Malone,DEF,HUD,4300000,0,3,0.1,2.32558139534884E-08,6.97674418604651E-07,0,6537,0,5,0,0,0,0,0,0.7,412,-2,0,3,2,0.2,0,0.7,0,0,0,0,0,0.1,3222,0,0,0,0,138,316,0,0,33,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
Sadio,Mane,MID,LIV,9300000,0,22,0.733333333333333,7.88530465949821E-08,2.36559139784946E-06,0,1370340,1,9,0,0,0,3,0,2.4,11037,-2,0,22,2,0,0,0,0,0,2,0,0,6.6,509718,0,0,0,0,362,3146,0,1,92,West Ham,Southampton,Chelsea,Stoke,Brighton,0,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,41
Eliaquim,Mangala,DEF,MCI,5000000,0,1,0.0333333333333333,6.66666666666667E-09,2E-07,0,3986,0,0,0,0,0,0,0,0.2,249,0,0,1,0,0,0,0,0,0,0,0,0,0.1,3356,0,0,0,0,19,160,0,0,3,Arsenal,Leicester,Huddersfield,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Javier,Manquillo,DEF,NEW,4400000,2,26,3.3,7.5E-07,5.90909090909091E-06,0,47271,1,7,0,0,0,0,0,5.9,2837,-1,0,26,1,0.6,0,2.7,1,0,3,0,0,1.3,50885,0,0,0,0,720,11826,0,0,115,Bournemouth,Man Utd,Watford,West Brom,Chelsea,4,1.6,3.7,2.8,2.9,3.5,3.6,1.7,2.5,3,4.5,2.5,3.1,1.9,4.1,3.4,3.7,2.6,1.9,3.6,2.7,4.5,1.8,4.6,1.9,4.6,3.9,3.3,21.6
Solomon,March,MID,BHA,5000000,1,28,2.8,5.6E-07,5.6E-06,0,27002,1,9,0,0,0,1,0,5.6,3826,0,0,28,0,0.3,0,1.7,0,0,3,0,1,0.5,42193,0,0,0,0,692,489,0,0,104,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,2.8,2.6,1.4,3.2,3,1.9,1.9,2.7,1.8,2.3,1.8,3.2,1.8,2.2,2.2,3.3,1.9,3,3.4,2.7,1.4,3.1,3.1,2.1,2.1,2,2.5,1.4,38.4
Adrian,Mariappa,DEF,WAT,4000000,0,5,0.166666666666667,4.16666666666667E-08,1.25E-06,0,109404,1,13,0,0,0,0,0,1.3,9280,0,0,5,0,0.2,0,0.7,0,0,0,0,0,4,131560,0,0,0,0,450,11487,0,0,59,Everton,West Ham,Newcastle,Man Utd,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.3
Dean,Marney,MID,BUR,4500000,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,19,0,0,0,Southampton,Swansea,Arsenal,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony,Martial,MID,MUN,8000000,6,39,1.3,1.625E-07,4.875E-06,0,149689,1,2,0,0,0,4,0,4.9,6139,0,0,39,0,0.4,0,3,1,0,2,0,2,2.4,174241,0,0,0,0,267,13070,0,0,138,Chelsea,Newcastle,Brighton,Watford,Arsenal,0.6,1.1,0.8,0.6,0.6,0.6,1,0.6,0.6,0.9,0.7,0.7,0.8,0.6,0.6,1,0.6,0.6,0.6,1,0.6,1,0.6,0.9,0.6,1.2,0.6,0.6,50.7
Cuco,Martina,DEF,EVE,4300000,0,5,0.166666666666667,3.87596899224806E-08,1.16279069767442E-06,0,39689,1,9,0,0,0,0,0,1.2,4642,-2,0,5,2,0,0,0,0,0,0,0,0,0.5,30812,0,0,0,0,390,116,0,0,61,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,20.1
Damian Emiliano,Martinez,GLK,ARS,4000000,0,0,0,0,0,0,21082,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0.7,895,0,0,0,0,0,27,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno,Martins Indi,DEF,STK,4900000,0,4,0.133333333333333,2.72108843537415E-08,8.16326530612245E-07,0,1640,0,11,0,0,0,0,0,0.8,54,-1,0,4,1,-0.1,0,-0.3,0,0,0,0,0,0,1323,0,0,0,0,346,22,0,0,61,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.3
Brandon,Mason,DEF,WAT,4000000,0,0,0,0,0,0,39432,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,1.2,22712,0,0,0,0,0,624,0,0,0,Everton,West Ham,Newcastle,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur,Masuaku,DEF,WHU,4400000,-1,10,0.333333333333333,7.57575757575757E-08,2.27272727272727E-06,0,10693,1,7,0,0,0,0,0,2.3,869,-1,0,10,1,0.1,0,0.3,0,0,0,0,2,0.3,9190,0,0,0,0,245,269,0,0,67,Liverpool,Watford,Leicester,Everton,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,16.9
Juan,Mata,MID,MUN,7000000,0,27,3.4,4.85714285714286E-07,3.85714285714286E-06,0,149441,0,2,0,0,0,1,0,3.9,13946,0,0,27,0,0,0,0.3,2,0,6,0,0,2.4,111373,0,0,0,0,491,1001,0,0,113,Chelsea,Newcastle,Brighton,Watford,Arsenal,2.7,4.5,3.7,2.8,1.7,2.4,4.3,2.1,2.3,3.8,3.4,3.3,3.7,2.4,2.2,4.2,2.2,3.2,2.5,4.2,2.4,4.1,1.7,4,2.9,4.7,2,2.7,37.7
Nemanja,Matic,MID,MUN,5000000,3,31,3.1,6.2E-07,6.2E-06,0,610004,0,4,0,0,0,0,0,6.2,37314,0,0,31,0,0.5,0,2.7,0,0,8,0,1,14.5,459823,0,0,0,0,900,16276,0,0,161,Chelsea,Newcastle,Brighton,Watford,Arsenal,2.4,4,3.2,2.5,1.6,2.1,3.8,1.8,2,3.3,2.9,2.9,3.3,2.1,1.9,3.7,1.9,2.7,2.2,3.7,2.1,3.6,1.6,3.5,2.5,4.1,1.7,2.3,32.8
Joel,Matip,DEF,LIV,5500000,6,30,3,5.45454545454545E-07,5.45454545454545E-06,0,101900,1,16,0,0,0,0,0,5.5,3549,0,0,30,0,0.7,0,4,1,0,4,0,0,2.4,55384,0,0,0,0,900,6559,0,0,206,West Ham,Southampton,Chelsea,Stoke,Brighton,1.9,3.3,3,1.9,2.1,3.2,4.2,2,1.5,2.8,3.2,2.1,2.7,1.8,2,3.2,2.3,4.1,3.9,1.5,3.4,2.9,1.5,3.6,2.1,3.6,2.3,4,30.9
Alfie,Mawson,DEF,SWA,5000000,1,38,3.8,7.6E-07,7.6E-06,0,31822,0,12,0,0,0,1,0,7.6,3182,0,0,38,0,1,0,5,1,0,4,0,0,1.3,38572,0,0,0,0,900,15491,0,0,200,Brighton,Burnley,Bournemouth,Chelsea,Stoke,4.6,4.4,4.1,4.6,4.2,4.8,2.9,3.3,5.3,3.4,5.6,3.6,3.7,4.6,4.8,3.2,4.2,4.4,4.7,4.3,3.6,2.9,4.4,3.6,3.4,3.3,4.2,4,28.3
Chancel,Mbemba,DEF,NEW,4000000,0,15,0.5,1.25E-07,3.75E-06,0,333722,0,5,0,0,0,0,0,3.8,35326,0,0,15,0,0,0,0,3,0,1,0,0,12.9,808712,0,0,0,1,408,17789,0,0,81,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,14.6
James,McArthur,MID,CRY,4400000,0,11,0.366666666666667,8.33333333333333E-08,2.5E-06,0,156483,1,7,0,0,0,0,0,2.5,11729,-1,0,11,1,0.3,0,1.3,0,0,0,0,0,2.6,68057,0,0,0,0,448,148,0,0,46,Tottenham,Everton,Stoke,Brighton,West Brom,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,13.6
Gareth,McAuley,DEF,WBA,4800000,1,3,0.1,2.08333333333333E-08,6.25E-07,0,69819,0,4,0,0,0,0,0,0.6,1341,-2,0,3,2,0.2,0,1,0,0,0,0,0,0.7,3772,0,0,0,0,110,546,0,0,28,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3
Oliver,McBurnie,FWD,SWA,4500000,1,4,0.133333333333333,2.96296296296296E-08,8.88888888888889E-07,0,86836,0,1,0,0,0,0,0,0.9,2613,0,0,4,0,0.1,0,0.3,0,0,0,0,0,1.1,24245,0,0,0,0,30,5803,0,0,12,Brighton,Burnley,Bournemouth,Chelsea,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8
Alex,McCarthy,GLK,SOU,4400000,0,0,0,0,0,0,2013,0,0,0,0,0,0,0,0,97,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,564,0,0,0,0,0,29,0,0,0,Burnley,Liverpool,Everton,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,EVE,4900000,0,0,0,0,0,0,1623,0,0,0,0,0,0,0,0,70,-1,0,0,1,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,17,0,0,0,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McClean,MID,WBA,4900000,1,9,0.3,6.12244897959184E-08,1.83673469387755E-06,0,6708,2,2,0,0,0,0,0,1.8,281,-1,0,9,1,0.1,0,0.7,0,0,2,0,0,0.1,4428,0,0,0,0,229,55,0,0,23,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.5
Sam,McQueen,DEF,SOU,4300000,0,2,0.0666666666666667,1.55038759689922E-08,4.65116279069767E-07,0,3279,0,0,0,0,0,0,0,0.5,141,-2,0,2,2,0,0,0,0,0,0,0,0,0.1,997,0,0,0,0,20,64,0,0,5,Burnley,Liverpool,Everton,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Scott,McTominay,MID,MUN,4300000,0,0,0,0,0,0,17695,0,0,0,0,0,0,0,0,2994,-2,0,0,2,0,0,0,0,0,0,0,0,0.5,38402,0,0,0,0,0,3983,0,0,0,Chelsea,Newcastle,Brighton,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Mee,DEF,BUR,4500000,9,37,3.7,8.22222222222222E-07,8.22222222222222E-06,0,246719,1,9,0,0,0,0,0,8.2,7794,0,0,37,0,0.9,0,4,4,0,4,0,0,7.3,140188,0,0,0,1,900,26845,0,0,179,Southampton,Swansea,Arsenal,Bournemouth,Leicester,4.1,3.3,5,3.7,2.7,4,4.3,3.9,3.8,2.4,3.8,4.9,4.4,3.9,3.2,3.2,3.5,3.9,3.8,3.6,3.6,3.9,5.1,3.8,3.6,4.8,2.6,4.4,50.5
Benjamin,Mendy,DEF,MCI,6300000,0,17,0.566666666666667,8.99470899470899E-08,2.6984126984127E-06,0,106940,2,1,0,0,0,0,0,2.7,922,-2,1,17,2,0,0,0,1,0,2,0,1,0.4,87175,0,0,0,0,298,39,-1,0,84,Arsenal,Leicester,Huddersfield,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,19.7
Nampalys,Mendy,MID,LEI,4500000,0,0,0,0,0,0,3460,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,0,0,0,0,0,11,0,0,0,Stoke,Man City,West Ham,Tottenham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikel,Merino,MID,NEW,5000000,0,23,2.6,5.2E-07,4.6E-06,0,7614,2,5,0,0,0,1,0,4.6,2714,0,0,23,0,0.7,0,3.3,3,0,2,0,0,0.2,13190,0,0,0,0,598,570,0,0,140,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0,1.3,1.8,1.3,1.8,2.9,3.5,1.3,1.5,1.6,2.5,1.5,2.8,1.3,2.6,1.6,2.3,1.9,1.3,2.2,1.4,2.9,1.5,3.3,2.2,2.7,1.8,2.1,32.3
Per,Mertesacker,DEF,ARS,4900000,2,12,0.4,8.16326530612245E-08,2.44897959183673E-06,0,23937,0,5,0,0,0,1,0,2.4,2801,-1,0,12,1,0.8,0,4,2,0,0,0,0,0.7,22539,0,0,0,1,270,2309,0,0,61,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,14.8
Roque,Mesa,MID,SWA,4400000,0,4,0.133333333333333,3.03030303030303E-08,9.09090909090909E-07,0,29294,0,3,0,0,0,0,0,0.9,1475,-1,0,4,1,0,0,0,0,0,0,0,0,0.5,24876,0,0,0,0,132,177,0,0,23,Brighton,Burnley,Bournemouth,Chelsea,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.3
Simon,Mignolet,GLK,LIV,4900000,6,31,3.4,6.93877551020408E-07,6.3265306122449E-06,0,47169,2,16,0,21,0,0,0,6.3,2512,-1,0,31,1,0.8,0,4,0,0,3,0,0,1.5,29110,0,0,1,0,810,5499,0,0,161,West Ham,Southampton,Chelsea,Stoke,Brighton,2.4,3.9,3.6,2.4,2.6,3.9,4.9,2.4,1.7,3.4,3.8,2.6,3.2,2.3,2.5,3.9,2.8,4.8,4.6,1.7,4,3.2,1.8,4.3,2.6,4.2,2.8,4.7,15.8
Luka,Milivojevic,MID,CRY,4600000,9,21,2.3,5E-07,4.56521739130435E-06,0,55336,1,18,0,0,0,1,0,4.6,1086,-4,0,21,4,0.9,0,4,2,0,0,0,0,0.4,9449,0,0,0,0,649,3665,0,0,111,Tottenham,Everton,Stoke,Brighton,West Brom,1.3,2.9,2,1.2,1.2,2.4,1.4,1.3,2,2.7,1.2,1.6,2.1,1.2,1.4,2.5,2,1.6,1.8,1.6,1.3,2.3,1.7,2,1.7,2.3,1.3,2.2,28.3
James,Milner,DEF,LIV,6200000,12,23,0.766666666666667,1.23655913978495E-07,3.70967741935484E-06,0,232106,0,8,0,0,0,0,0,3.7,2729,-3,0,23,3,0.6,0,4,3,0,2,0,1,2.7,27422,0,0,0,1,422,8485,0,0,121,West Ham,Southampton,Chelsea,Stoke,Brighton,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.5,41.9
Tyrone,Mings,DEF,BOU,4300000,0,0,0,0,0,0,14205,1,4,0,0,0,0,0,0,479,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,2089,0,0,0,0,135,29,0,0,17,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Kevin,Mirallas,MID,EVE,6100000,1,3,0.1,1.63934426229508E-08,4.91803278688525E-07,0,102488,1,5,0,0,0,0,0,0.5,1750,-4,0,3,4,0,0,0.3,0,0,0,0,0,1,7241,0,0,0,0,72,543,0,0,15,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7
Aleksandar,Mitrovic,FWD,NEW,4800000,0,6,0.2,4.16666666666667E-08,1.25E-06,0,120965,0,0,0,0,0,1,0,1.3,3928,-2,0,6,2,0.1,0,0.3,0,0,0,0,0,1,37293,0,0,0,0,30,1477,0,0,27,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11
Henrikh,Mkhitaryan,MID,MUN,8100000,3,50,5,6.17283950617284E-07,6.17283950617284E-06,0,1246014,1,2,0,0,0,1,0,6.1,163203,1,1,50,-1,0.3,0,2.3,4,0,8,0,5,16.2,1555232,0,0,0,1,724,7288,-1,0,188,Chelsea,Newcastle,Brighton,Watford,Arsenal,5,7.4,6.4,5.1,3.3,4.5,7.2,4,4.3,6.5,5.9,5.3,6.4,4.5,4.2,7.1,4.1,5.6,4.6,7,4.4,6.9,2.9,6.8,5.2,7.5,3.8,5,70.5
Jayson,Molumby,MID,BHA,4500000,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,55,0,0,0,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho,Monreal,DEF,ARS,5600000,2,51,5.1,9.10714285714286E-07,9.10714285714286E-06,0,258893,0,13,0,0,0,2,0,9.1,60729,1,0,51,-1,0.6,0,3.3,8,0,4,0,0,10.9,533211,0,0,0,1,900,25259,0,0,263,Man City,Tottenham,Burnley,Huddersfield,Man Utd,3.1,6.9,4.4,7.6,7.1,4.8,4,7.6,7.6,4.4,4.4,6.6,4.2,7.6,3.9,6.9,4.4,6,4.4,7.1,2.8,7.4,7,3.5,7.6,2.6,7.6,4.3,49.2
Jefferson,Montero,MID,SWA,4900000,0,0,0,0,0,0,2817,0,0,0,0,0,0,0,0,36,-1,0,0,1,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,2,0,0,0,Brighton,Burnley,Bournemouth,Chelsea,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Mooy,MID,HUD,5600000,2,38,3.8,6.78571428571429E-07,6.78571428571429E-06,0,456393,1,11,0,0,0,2,0,6.8,20936,1,0,38,-1,0.6,0,3.3,3,0,4,0,1,8.1,708650,0,0,0,1,825,14877,0,0,194,West Brom,Bournemouth,Man City,Arsenal,Everton,4.6,3.7,2.8,2.3,4.2,4.2,3.6,3.7,3.5,4.3,4.3,3,5.1,3,4.8,2,4.9,2.8,2.9,4.6,5,2.9,2.6,3.1,3.5,5.6,2,5.3,62
Alvaro,Morata,FWD,CHE,10300000,5,55,6.1,5.92233009708738E-07,5.33980582524272E-06,0,1444197,2,3,0,0,0,6,0,5.3,170644,3,0,55,-3,0.2,0,2,8,0,5,0,3,18.3,1903727,0,0,0,2,626,61444,0,0,169,Man Utd,West Brom,Liverpool,Swansea,Newcastle,6.9,8.1,7,6.2,8,7.7,7.6,6.2,8.2,8,7.7,6,7.7,8.2,7.7,9.1,8.2,6.2,7.5,8.2,7.7,5.6,8,8.4,7.7,8.3,8.4,7.3,82.8
Alberto,Moreno,DEF,LIV,4500000,6,27,3.4,7.55555555555556E-07,6E-06,0,93876,0,15,0,0,0,0,0,6,4901,0,0,27,0,1,0,4.3,2,0,3,0,1,3.4,160359,0,0,0,0,720,27978,0,0,190,West Ham,Southampton,Chelsea,Stoke,Brighton,2.4,3.9,3.6,2.4,2.6,3.9,4.9,2.4,1.7,3.4,3.8,2.6,3.2,2.3,2.5,3.9,2.8,4.8,4.6,1.7,4,3.2,1.8,4.3,2.6,4.2,2.8,4.7,40.6
Wes,Morgan,DEF,LEI,4500000,6,25,2.5,5.55555555555556E-07,5.55555555555556E-06,0,91930,2,14,0,0,0,0,0,5.6,3804,0,0,25,0,0.7,0,3.3,0,0,3,0,0,2.8,58456,0,0,0,0,900,5405,0,0,147,Stoke,Man City,West Ham,Tottenham,Burnley,1.8,1.8,1.7,2.3,2.7,1.5,2.1,3.8,2.3,2.8,1.3,3,2.1,2.4,1.3,1.9,1.3,2.5,2.6,1.9,3.1,1.9,2.9,1.9,2.3,2.8,3,1.9,28.7
James,Morrison,MID,WBA,5500000,0,13,0.433333333333333,7.87878787878788E-08,2.36363636363636E-06,0,2630,0,1,0,0,0,1,0,2.4,158,0,0,13,0,0,0,0,0,0,2,0,0,0,2501,0,0,0,0,205,6,0,0,35,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,14.5
Victor,Moses,DEF,CHE,6400000,0,22,0.733333333333333,1.14583333333333E-07,3.4375E-06,0,41939,1,3,0,0,0,0,0,3.4,2727,-1,1,22,1,0,0,0.3,0,0,3,0,0,0.7,26659,0,0,0,0,470,46,-1,0,79,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.9,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,20.8
Steve,Mounie,FWD,HUD,5800000,1,19,3.2,5.51724137931035E-07,3.27586206896552E-06,0,298954,2,4,0,0,0,2,0,3.3,3141,-2,0,19,2,0.1,0,0.7,3,0,3,0,0,0.9,269677,0,0,0,0,396,805,0,0,59,West Brom,Bournemouth,Man City,Arsenal,Everton,4,3.1,2.9,1.6,3.3,3.9,2.5,3.6,2.7,4.2,3.3,2.3,3.9,3.2,4.1,1.6,4.1,2.5,2.2,2.9,4.8,2.1,2.6,3.1,2.5,4.6,2.2,4.1,26.5
Lys,Mousset,FWD,BOU,4900000,0,7,0.233333333333333,4.76190476190476E-08,1.42857142857143E-06,0,6011,0,2,0,0,0,0,0,1.4,482,-1,0,7,1,0.2,0,1,0,0,1,0,0,0.1,5012,0,0,0,0,107,258,0,0,15,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Marc,Muniesa,DEF,STK,4500000,0,0,0,0,0,0,4283,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,2,0,0,0,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl,Murphy,FWD,NEW,4500000,0,0,0,0,0,0,13947,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4041,0,0,0,0,0,127,0,0,0,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob,Murphy,MID,NEW,5100000,1,5,0.166666666666667,3.26797385620915E-08,9.80392156862745E-07,0,8882,0,0,0,0,0,0,0,1,181,-4,0,5,4,0.1,0,0.7,0,0,0,0,0,0.1,955,0,0,0,0,89,43,0,0,12,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.4
